,Artist,Lyrics,Song
557,Three Days Grace,"['I dont belong here\nNot in this atmosphere\nGoodbye, Goodbye, Goodbye\nI dont belong here\nNot in this atmosphere\nGoodbye, Goodbye, Goodbye', 'And I was in the race\nI was in the race', 'Im sick of running\nIm sick of running\nIm sick of running\nThe Human Race\nThe Human Race', 'If its an eye for an eye\nThen we all go blind\nIs it hard to see?\nIs it hard to see? Yeah', 'No finish line', 'And I was in the race\nI was in the race', 'Im sick of running\nIm sick of running\nIm sick of running\nThe Human Race\nThe Human Race']",Human Race
558,AWOLNATION,"['These friends of mine will come and go\nI’m the first to leave and last to know', 'I’ll be swimming in a face of flames\nFor these friends of mine I’ve overpaid', 'And I guess I wanted, I guess I wanted\nI just want you to know', 'All of these things made me who I am\nMaybe all of these things made me who I am\nMaybe all of these things made me who I am', 'And I am\nOnly looking up when my head’s down', 'Ooh, veins are glistening', 'So thanks a lot for listening', 'Yeah! Yeah! Ooh someone left the lights on\nYeah! Yeah! Ooh someone left the lights on\nYeah! Yeah! Ooh someone left the lights on\nYeah! Yeah! Ooh someone left the lights on', 'Hypnotized from the day you were born\nHypnotized from the day you were born']",I Am
559,Royal Blood,"[""Hey little monster, I got my eye on you\nWhere are you going, where you running to?\nHey little monster, you know it's all ok\nI'm gonna love ya, no matter what you say"", ""I've got love on my fingers"", 'Lust on my tongue', 'You say you got nothing\nSo come out and get some', 'Heartache to heartache', ""I'm your wolf, I'm your man\nI say run little monster\nBefore you know who I am"", ""Hey little creature, tell me what's on your mind\nWhere've you been hiding? And can I come this time?"", 'So pleased to please ya', 'and rip that heart off your sleeve', 'What we discover...', ""I've got love on my fingers"", 'Lust on my tongue', 'You say you got nothing\nSo come out and get some', 'Heartache to heartache', ""I'm your wolf, I'm your man\nI say run little monster\nBefore you know who I am"", ""I've got love on my fingers"", 'Lust on my tongue', 'You say you got nothing\nSo come out and get some', 'Heartache to heartache', ""I'm your wolf, I'm your man\nI say run little monster\nBefore you know who I am""]",Little Monster
560,The Struts,"[""Don't wanna live as an untold story\nRather go out in a blaze of glory"", ""I can't hear you, I don't fear you"", ""I'll live now cause the bad die last\nDodging bullets with your broken past"", ""I can't hear you, I don't fear you now"", 'Wrapped in your regret\nWhat a waste of blood and sweat\nOh oh oh', ""I wanna taste love and pain\nWanna feel pride and shame\nI don't wanna take my time\nDon't wanna waste one line\nI wanna live better days\nNever look back and say\nCould have been me\nIt could have been me\nYeah"", ""Don't wanna live as an unsung melody"", ""Don't wanna wake up on a Monday morning\nThe thought of work is getting my skin crawling"", 'Wrapped in your regret\nWhat a waste of blood and sweat\nOh oh oh', ""I wanna taste love and pain\nWanna feel pride and shame\nI don't wanna take my time\nDon't wanna waste one line\nI wanna live better days\nNever look back and say\nCould have been me\nIt could have been me"", ""I wanna taste love and pain\nWanna feel pride and shame\nDon't wanna take my time\nNo""]",Could Have Been Me
561,Seether,[],Nobody Praying For Me
562,twenty one pilots,"['She asked me, ""Son, when I grow old\nWill you buy me a house of gold?', 'And when your father turns to stone\nWill you take care of me?""', 'She asked me, ""Son, when I grow old\nWill you buy me a house of gold?', 'And when your father turns to stone\nWill you take care of me?""', ""I will make you queen of everything you see\nI'll put you on the map\nI'll cure you of disease"", ""Let's say we up and left this town\nAnd turned our future upside down\nWe'll make pretend that you and me\nLived ever after happily"", 'She asked me, ""Son, when I grow old\nWill you buy me a house of gold?', 'And when your father turns to stone\nWill you take care of me?""', ""I will make you queen of everything you see\nI'll put you on the map\nI'll cure you of disease"", 'And since we know that dreams are dead\nAnd life turns plans up on their head', 'I will plan to be a bum\nSo I just might become someone', 'She asked me, ""Son, when I grow old\nWill you buy me a house of gold?', 'And when your father turns to stone\nWill you take care of me?""', ""I will make you queen of everything you see\nI'll put you on the map\nI'll cure you of disease""]",House Of Gold
563,Highly Suspect,"[""Black ocean, cold and dark\nI am the hungry shark, fast and merciless\nBut the only girl that could talk to him just couldn't swim"", ""You are the one that I used to love\nAnd I'm still in love, but I've never loved you the most"", ""I've seen better days\nSo unafraid in my youth\nI can't breathe, much less believe"", 'You gave me everything you had\nEvery little thing you had\nA pure love unrehearsed', ""I've seen your best and worst\nAnd at your worst, you're still the best\nBut at my best, I am the worst\nIt's a curse"", ""Your eyes are lined in pain\nBlack tears don't hide in rain\nAnd I tied you to the tracks\nWhen I turned around, I heard the sound\nI hit the ground, I know there's no turning back"", ""I've seen better days\nSo unafraid in my youth\nI can't breathe, much less believe the truth"", ""Better days, so unafraid in my youth\nI can't breathe, much less believe the truth"", ""Black ocean, cold and dark\nI am the hungry shark, fast and merciless\nBut the only girl that could talk to him, she couldn't swim\nTell me what's worse than this\nWhat's worse is all the coke\nThe ice, it numbs my throat if only for the night"", ""My muscles will contract, your bones will crack\nIt's just a fact cause I am here to win this fight"", ""I can't fucking breathe, much less believe the truth\nI pick up a mag, aim for the sun, and shoot"", ""Black tears don't hide in rain"", 'And I tied you to the tracks\nWhen I turned around, I heard that sound']",Lydia
564,Nothing More,"['A little sleep, a little slumber\nA little folding of the hands', ""Left you weak, left you hungry\nWhen there's supply you still demand"", ""You're beginning to drag the ones you love down\nWill this phase ever end?"", ""Maybe you should just fall\nLeave the world and lose it all\nAnd if that's what you need\nTo finally see\nI'll be with you through it all"", 'Bring on the pills, roll the dollar bill\nMedicating will never heal\nRelapse, rehab, repeat\nAlways thinking about the me, me, me', 'Until your want becomes your need', ""Maybe you should just fall\nLeave the world and lose it all\nAnd if that's what you need\nTo finally see\nI'll be with you through it all (I'll be with you through it all)"", ""Maybe you should just fall\nLeave the world and lose it all\nIf that's what you need\nTo finally see, she loved you through it all\n[x2]""]",Jenny
565,Disturbed,"[""He is observing the chaos, taking in the lack of raw humanity\nIt's as if the entire world's fallen in love with their insanity\nHear the innocent voices scream\nAs their tormentors laugh through all of it\nNo forgiveness from all I've seen\nThe degradation I cannot forget"", 'So sleep soundly in your beds tonight\nFor judgement falls upon you at first light', ""I'm the hand of God\nI'm the dark messiah\nI'm the vengeful one"", ""(Look inside and see what you're becoming)"", 'In the blackest moment of a dying world\nWhat have you become', ""(Look inside and see what you're becoming)"", 'As the violence surges\nAnd the teeming masses have been terrorized\nThe human predators all gone mad\nAre reaping profits born from their demise', 'The rabid media plays their roles\nStoking the flames of war to no surprise\nOnly too eager to sell their souls\nFor the apocalypse must be televised', 'So sleep soundly in your beds tonight\nFor judgement falls upon you at first light', ""I'm the hand of God\nI'm the dark messiah\nI'm the vengeful one"", ""(Look inside and see what you're becoming)"", 'In the blackest moment of a dying world\nWhat have you become', ""(Look inside and see what you're becoming)"", ""When you die\nYou'll know why\nFor you cannot be saved\nWith all the world enslaved\nWhen you die\nYou'll know why\n\nYou'll die\nYou'll know why\nFor you cannot be saved\nThis world is too depraved\nWhen you die\nYou'll know why"", ""I'm the hand of God\nI'm the dark messiah\nI'm the vengeful one"", ""(Look inside and see what you're becoming)"", 'In the blackest moment of a dying world\nWhat have you become', ""(Look inside and see what you're becoming)"", ""I'm the hand of God\nI'm the dark messiah\nI'm the vengeful one"", ""(Look inside and see what you're becoming)"", 'In the blackest moment of a dying world\nWhat have you become', ""(Look inside and see what you're becoming)""]",The Vengeful One
566,Halestorm,[],Amen
567,Pop Evil,[],Footsteps
568,Glass Animals,,Black Mambo
569,WALK THE MOON,"[""Coming up slowly, oh, sun over the hill\nDaylight still a long time coming\nBut I know it will\nBeen under their spell, oh, but we're coming awake\nSo we'll be rude, we'll be loud\nAs long as it takes"", 'This is why, this is why, we crank the dial to the right', 'Cause when the people get to dancing\nThey forget about taking sides', 'For every action there is an equal and opposite reaction']",Different Colors
570,Houndmouth,"['The red sandstone it fell\nRight smack on top', 'Sedona Arabelle', ""John Ford said won't you hop on in\nAnd the Stagecoach"", ""Well hey little Hollywood\nYou're gone but you're not forgotten"", ""You got the cash but your credit's no good\nYou flipped the script and you shot the plot"", 'I remember, I remember when the neon use to burn so bright and pink', 'Saturday night kind of pink!', 'Well the blacklist and its hosts\nHe came down so swift\nAnd you drove him to the coast', ""We're going to California but we're all out of work\nI guess that's better than a grave and a hearse, oh woah\nOh woah"", ""Well hey little Hollywood\nYou're gone but you're not forgotten"", ""You got the cash but your credit's no good\nYou flipped the script and you shot the plot"", 'I remember, I remember when the neon use to burn so bright and pink', 'Saturday night kind of pink!', ""Now the devil's in a rush\nAnd this duct tape makes you hush\nHey there Sedona let me cut you a deal\nI'm a little hungover and I may have to steal your soul\nOh woah"", ""Well hey little Hollywood\nYou're gone but you're not forgotten"", ""You got the cash but your credit's no good\nYou flipped the script and you shot the plot"", 'I remember, I remember when the neon use to burn so bright and pink\nSo bright and pink!', 'Saturday night kind of pink!']",Sedona
